Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/19/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,22.72727273,20.45454545,22.72727273,20.45454545,25,25,22.72727273,22.72727273,25,25,25,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,18.18181818,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,,
Australia,AUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,,60.08421957,60.35796571,60.72022702,61.05059683,61.56697864,61.72031813,62.05537404,61.80714109,62.34369915,62.71390078,62.90472905,63.06145295,63.39468649,63.48710673,63.371256,63.49309452,62.30048293,62.02960051,62.54337894,62.86216367,62.83808235,62.23149317,61.32603517,61.57517931,61.56489593,61.29479453,61.31236739,61.47677128,60.79910964,60.46119001,60.2650248,60.6820874,59.91512958,61.06244224,60.31370813,60.55751533,60.16427372,60.37072231,59.06160915,59.29213907,59.31817294,58.1856996,57.20942947,57.28883277,57.94475613,56.61390469,55.38041993,54.31810786,53.24303919,51.88289965,53.32681537,52.78028715,51.62715756,52.88377179,47.63065749,48.24194425,,
Austria,AUT,Agricultural land (% of land area),AG.LND.AGRI.ZS,,43.05400705,42.75853718,42.25962762,42.09857108,41.94962402,41.24485348,40.85371702,40.67934184,40.58004478,40.3947693,40.21433643,40.04722811,39.01913237,38.83870246,38.62315331,38.55049649,38.4790518,38.51780151,38.05885084,38.03584403,38.21021921,38.05642954,36.6420429,36.73044262,36.78251393,36.65294319,36.66747396,36.91329679,36.94114916,36.61782396,36.77524706,36.48583192,36.31629935,36.25696413,36.09954102,36.00508657,35.89973477,35.8428179,35.78590399,35.60426194,35.3124255,35.1441021,34.93860475,34.72269196,34.59433336,34.43085552,34.27184195,34.02116749,33.84678808,33.65830719,33.39712672,33.13225067,32.91369341,32.89022473,32.94172553,32.35667614,,
Azerbaijan,AZE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.42898796,53.55396125,53.90725326,53.94450644,54.39032997,55.14137842,56.34838477,56.73659274,57.38635558,57.45000089,57.4317947,57.52552855,57.51523841,57.56835347,57.55291077,57.56453273,57.56835033,57.57909143,57.67034492,57.69193917,57.68709523,57.70454009,57.7005469,57.7017519,57.73557518,,
Burundi,BDI,Agricultural land (% of land area),AG.LND.AGRI.ZS,,61.3317757,61.91588785,62.46105919,62.5,63.23987539,63.12305296,64.87538941,65.26479751,73.87071651,73.20872274,73.94859813,74.2211838,77.88161994,79.04984424,80.21806854,81.58099688,83.45015576,82.55451713,81.77570093,81.30841121,80.80218069,80.21806854,80.21806854,80.21806854,80.21806854,81.07476636,81.46417445,81.97040498,81.97040498,82.16510903,82.16510903,82.55451713,82.67133956,80.72429907,79.32242991,77.60903427,76.01246106,74.49376947,73.48130841,72.70249221,72.07943925,71.41744548,71.37850467,71.96261682,70.83333333,69.43146417,67.48442368,69.43146417,71.37850467,71.37850467,73.32554517,75.27258567,79.16666667,79.16666667,79.16666667,79.16666667,,
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.89167687,45.79920901,45.87516432,45.97754132,45.94782196,45.67371202,45.57463672,45.14200873,45.08916938,45.03302429,44.7721252,44.11162322,43.98943197,44.13804491,43.96631601,43.85733157,44.61030544,,
Benin,BEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,12.78822277,12.96559063,13.1429585,13.32032636,13.49769422,13.76374601,14.11848173,14.38453352,15.13834693,15.31571479,15.75913444,16.02518624,16.2025541,16.46860589,16.82334161,17.0893934,17.35544519,17.53281305,17.71018092,17.97623271,18.2422845,18.53494147,18.6236254,18.71230933,18.88967719,19.42178077,19.5104647,19.59914863,19.68783256,20.13125222,20.21993615,20.35296204,20.57467187,21.28414331,22.34835048,24.03334516,25.62965591,27.04859879,27.58070238,28.33451579,28.9553033,29.8421426,30.74671869,31.633558,31.21674353,29.57609081,29.62043278,30.55161405,29.70911671,30.50727208,31.30542746,32.81305427,33.25647393,33.25647393,33.25647393,33.25647393,,
Burkina Faso,BFA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,29.74780702,29.78435673,29.82090643,29.85745614,29.89400585,29.93421053,29.97076023,30.00730994,30.05116959,30.10233918,30.04385965,30.34356725,30.60307018,30.89546784,31.19883041,31.37792398,31.56067251,31.74342105,31.92616959,32.10891813,32.29166667,32.4744152,32.65716374,32.83991228,33.02266082,33.20540936,33.40643275,34.95614035,35.0877193,34.99634503,34.90497076,34.81359649,34.72222222,34.47002924,34.53947368,34.90497076,36.00146199,36.44005848,36.44005848,35.70906433,38.63304094,39.36403509,40.82602339,38.99853801,40.09502924,39.36403509,40.09502924,44.11549708,43.01900585,44.15204678,43.09210526,44.2251462,44.95614035,44.2251462,44.2251462,44.2251462,,
Bangladesh,BGD,Agricultural land (% of land area),AG.LND.AGRI.ZS,,72.82784052,72.80479373,72.82784052,73.13513098,74.0339556,74.133825,74.47952677,74.27978797,74.32588154,74.4948913,74.47952677,76.75347622,76.7381117,76.7381117,76.85334562,76.80725206,76.75347622,76.72274718,76.69201813,76.72274718,76.67665361,76.65360682,76.54605516,77.28355228,77.03003764,77.13758931,77.70607667,80.10294231,80.22585849,79.78796958,79.28094031,73.35791657,72.56664362,71.89060459,72.01352078,71.65245448,71.94438043,72.47445648,72.87393409,72.21325958,72.23630637,71.85219329,71.66013674,71.62172544,71.5295383,71.29138818,71.18383652,71.08396712,71.03019129,70.99177998,70.12368441,70.06222632,69.97003918,69.90089882,70.38672685,70.63232666,,
Bulgaria,BGR,Agricultural land (% of land area),AG.LND.AGRI.ZS,,51.27903824,51.38750791,51.45982103,52.17391304,52.36373497,52.44508723,52.99647474,53.15917925,54.43369791,54.32522824,54.3161891,54.43369791,54.07213233,54.57832414,53.82807557,56.02458646,56.09689958,56.14209527,56.09689958,55.87092109,55.85284281,55.87996023,55.83476453,55.78956883,55.76245141,55.735334,55.735334,55.69917744,55.75341228,55.67206002,55.6901383,55.62686432,55.32857272,55.67206002,55.71725572,55.71725572,56.06978216,51.02594233,51.33327307,50.45647654,49.69718883,48.94301471,48.96570746,49.00698786,48.46281296,47.77685722,47.1043182,46.96620937,46.33382461,46.53647752,46.86809138,47.19049374,46.01142225,45.84561533,46.16709564,46.25092115,,
Bahrain,BHR,Agricultural land (% of land area),AG.LND.AGRI.ZS,,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,10.14492754,11.5942029,14.49275362,14.49275362,14.49275362,14.49275362,14.49275362,13.04347826,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,11.5942029,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,12.67605634,14.08450704,12.95774621,12.95774621,12.95774621,12.36111058,11.91780796,11.7567565,11.55405431,11.19999949,10.78947343,10.99999955,11.28609019,11.21251724,11.16883166,11.16883166,11.15434572,11.05398463,11.05398463,,
"Bahamas, The",BHS,Agricultural land (% of land area),AG.LND.AGRI.ZS,,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,0.999000999,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.098901099,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.198801199,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.298701299,1.498501499,1.498501499,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399,1.398601399,,
Bosnia and Herzegovina,BIH,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.96875,42.7734375,42.578125,42.48046875,42.3828125,42.28515625,42.1875,41.11328125,41.6015625,41.5234375,41.46484375,42.36328125,42.37109184,42.12890625,42.16796875,41.97265625,41.6015625,41.5625,41.875,42.01171875,42.109375,42.20703125,42.12890625,42.5,43.14453125,,
Belarus,BLR,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.29757444,46.11516466,46.07572471,46.04121475,46.01163479,45.87852495,45.88345494,45.75527509,45.61230527,45.000986,44.49539023,44.30311098,44.16448893,44.12069221,44.1498275,43.94282898,43.94775752,44.014397,43.85411533,43.73860332,43.34926815,42.93177134,42.4879174,42.24201571,42.03548913,,
Belize,BLZ,Agricultural land (% of land area),AG.LND.AGRI.ZS,,3.463393249,3.463393249,3.507233669,3.507233669,3.507233669,3.55107409,3.55107409,3.55107409,3.594914511,3.594914511,3.638754932,3.638754932,3.682595353,3.682595353,3.726435774,3.726435774,3.770276195,4.077159141,4.120999562,4.208680403,4.252520824,4.252520824,4.252520824,4.252520824,4.427882508,4.515563349,4.910127137,5.0416484,5.260850504,5.523893029,5.699254713,5.962297238,6.269180184,6.269180184,6.400701447,6.444541868,6.488382288,6.488382288,6.57606313,6.532222709,6.532222709,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.663743972,6.795265235,6.882946076,6.882946076,7.014467339,7.014467339,7.014467339,7.014467339,7.014467339,,
Bermuda,BMU,Agricultural land (% of land area),AG.LND.AGRI.ZS,,7.407407387,5.555555678,5.555555678,7.407407387,7.407407387,7.407407387,7.407407387,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,7.407407387,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,5.555555678,,
Bolivia,BOL,Agricultural land (% of land area),AG.LND.AGRI.ZS,,27.73193021,27.63961968,27.51500046,27.58054094,27.61469584,27.64792763,27.68208253,27.71531432,27.93409028,27.96732207,28.3707191,28.86550355,28.90058156,29.39444291,29.89015047,29.92338226,30.41908982,30.45232161,30.94710606,30.98126096,31.47696852,31.51112342,31.54527832,32.04744761,32.01975445,32.4960768,32.51823133,32.53946275,32.74254592,32.72869934,33.04347826,33.07578695,33.42841318,33.55580172,33.78565494,33.86319579,34.0385858,34.13828118,34.21859134,34.28690114,34.2989015,34.44198283,33.82904089,33.80134773,34.11981907,34.25828487,34.51490815,34.60260316,34.77614696,34.63121942,34.66906674,34.75583864,34.8361488,34.80291701,34.76506969,34.78722422,,
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,18.01010751,18.65403068,19.32379692,19.86578354,20.38671283,20.94891926,21.48671834,22.16079176,23.18434484,23.37804823,23.88473991,24.26819843,24.63000141,25.13035197,25.53391065,25.84390786,26.14816215,26.32631183,26.62231071,26.83348209,27.01845147,27.29506804,27.37702407,27.50899123,27.64263341,28.00323996,28.21094167,28.4377864,28.64656491,28.90690991,29.30568284,29.51721316,29.84671231,30.08061602,30.9245837,30.99002888,31.05547406,31.1207996,31.19820917,31.27561874,31.52196541,31.80946957,32.12066321,32.55891861,32.5948828,32.6369264,32.49981455,32.72259139,32.72737714,32.71816457,32.94668431,32.97468097,33.44787237,33.9284817,33.98878219,33.92453345,,
Barbados,BRB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,44.18604651,41.86046512,41.86046512,41.86046512,39.53488372,39.53488372,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,37.20930233,34.88372093,32.55813953,30.23255814,29.06976744,27.90697674,25.58139535,23.25581395,,
Brunei Darussalam,BRN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,3.984819734,3.984819734,3.984819734,4.554079696,4.554079696,4.364326376,4.364326376,4.554079696,4.554079696,4.554079696,3.605313093,3.415559772,3.415559772,3.415559772,3.415559772,3.225806452,2.84629981,2.84629981,2.84629981,2.65654649,2.65654649,2.466793169,2.466793169,2.277039848,2.277039848,2.277039848,2.277039848,2.277039848,2.277039848,2.087286528,2.087286528,2.087286528,2.087286528,2.087286528,1.897533207,1.897533207,1.897533207,1.897533207,1.897533207,1.897533207,2.087286528,2.087286528,2.087286528,2.087286528,2.087286528,1.954459239,2.163187783,2.163187783,2.542694425,2.542694425,2.542694425,2.542694425,2.732447745,2.732447745,2.732447745,2.732447745,,
Bhutan,BTN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,7.726387755,7.769193228,7.769193228,7.8119987,7.833401436,7.876206908,7.876206908,7.919012381,7.919012381,8.175845215,8.175845215,8.240053423,8.240053423,8.389872576,8.389872576,8.518288993,8.561094466,8.561094466,8.668108147,8.839330036,8.839330036,8.946343717,9.203176551,9.502814857,9.502814857,9.502814857,9.952272316,9.845258636,9.674036746,9.716842219,10.78697903,10.78697903,10.80838176,12.78894472,14.1959799,14.32160804,14.3718593,14.3718593,14.3718593,13.31658291,13.44221106,13.44221106,13.49246231,15.32124793,15.55736306,15.13760284,14.77031265,13.67631226,13.64220706,13.64220706,13.63171242,13.63171242,13.63171242,13.7891225,13.7891225,13.60633424,,
Botswana,BWA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,45.87722549,45.87722549,45.87722549,45.87722549,45.87899,45.87899,45.87899,45.87899,45.87899,45.87899,45.87899,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.8807545,45.88428352,45.88428352,45.88428352,45.88781254,45.88781254,45.88781254,45.89134156,45.89134156,45.89487057,45.89487057,45.90369312,45.91428017,45.70253913,45.61431369,45.79076456,45.87016745,45.78194202,45.78194202,45.70253913,45.57902352,45.59666861,45.79076456,45.52608826,45.60549115,45.51726572,45.57196549,45.59755086,45.52961728,45.49609161,45.66724895,45.73253578,45.63195878,45.74665184,45.67783601,45.66371994,45.87899,45.6330168,45.6330168,,
Central African Republic,CAF,Agricultural land (% of land area),AG.LND.AGRI.ZS,,7.60538059,7.62143247,7.634273973,7.656746605,7.672798485,7.688850364,7.704902244,7.720954124,7.737006003,7.753057883,7.769109763,7.785161642,7.801213522,7.817265402,7.849369161,7.865421041,7.88147292,7.8975248,7.91357668,7.937654499,7.937654499,7.961732319,7.977784199,7.997046454,7.998651642,8.032360589,8.033965777,8.035570965,8.035570965,8.035570965,8.038781341,8.058043597,8.058043597,8.058043597,8.041991717,8.061253973,8.223377958,8.265112845,8.265112845,8.265112845,8.265112845,8.265112845,8.338951491,8.371055251,8.371055251,8.363029311,8.363029311,8.363029311,8.39513307,8.154354875,8.154354875,8.154354875,8.154354875,8.154354875,8.154354875,8.154354875,,
Canada,CAN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,7.678553166,7.692629139,7.706705112,7.720671116,7.734857057,7.748823062,7.709234388,7.669535746,7.629837104,7.590138461,7.550549788,7.545271298,7.540102777,7.534934255,7.529765734,7.524597213,7.468843164,7.413089115,7.357225098,7.301471049,7.245717,7.288274825,7.330942617,7.373500442,7.416168234,7.45861609,7.457186499,7.455646939,7.453887443,7.452347883,7.450698355,7.457406436,7.464004548,7.470602661,7.477200773,7.483908854,7.471702346,7.459605807,7.447399299,7.43530276,7.423096252,7.42474578,7.426725214,7.428484711,7.430464144,7.252864955,7.179009913,7.105155301,7.031410228,6.957555615,6.883700573,6.885328194,6.886955814,6.888583005,6.890210625,6.891838245,,
Central Europe and the Baltics,CEB,Agricultural land (% of land area),AG.LND.AGRI.ZS,,64.66702835,64.62537977,64.54041151,64.59195161,64.40294054,64.44179202,64.33822532,64.47338081,64.34045439,64.23688351,64.16857697,63.99902337,63.81590548,63.7602919,63.60972831,63.90173763,63.82626624,63.7318069,63.58284272,63.45754711,63.26713332,,,,,,,,,,,57.25392668,56.55220345,56.24013548,55.74068103,55.27140701,55.2268494,54.76037917,54.70739521,53.4917859,52.07269919,50.99785542,50.14402558,49.42262172,49.47756065,49.35681284,48.36213867,48.60552252,48.54588373,47.69449631,47.87165769,47.51576035,46.95826438,46.89558938,46.98861907,46.71570784,,
Switzerland,CHE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,43.92582542,43.85245909,43.49321822,43.27059308,43.04796485,42.89870295,42.72414562,42.65583775,42.68872707,42.34719702,42.13215958,42.06638404,41.83616502,41.67931541,41.58571212,41.55535204,41.52499504,41.61353987,41.96265763,41.84122657,41.7172632,41.59329982,41.47186877,41.34939008,41.22542983,41.10400185,40.98257077,40.85861053,40.73971171,40.62080981,40.49938182,40.38047992,40.2615811,40.14268228,40.02378038,39.94130817,39.86388976,39.77887998,39.69892411,39.62149678,39.53647133,39.45903596,39.37653179,39.3016182,39.22263224,39.14264919,39.06012658,38.98673797,38.90828935,38.83490074,38.75898213,38.68559352,38.58892517,38.51351318,38.43835449,38.36344603,,
Channel Islands,CHI,Agricultural land (% of land area),AG.LND.AGRI.ZS,,45.45454721,45.45454721,45.45454721,45.45454721,45.45454721,45.45454721,45.45454721,45.45454721,44.94949475,44.94949475,44.94949475,44.94949475,44.44444712,44.44444712,44.44444712,44.44444712,44.44444712,43.93939467,43.93939467,43.93939467,43.93939467,43.93939467,43.43434703,43.43434703,43.43434703,43.43434703,43.43434703,42.92929458,42.92929458,42.92929458,42.92929458,42.92929458,42.42424213,42.42424213,42.42424213,42.42424213,40.90909441,40.40404196,39.89899192,39.89899192,37.87878934,37.3737393,37.3737393,37.87878934,38.38383938,42.42424213,41.41414205,40.90909441,44.44444712,45.95959966,48.48485228,47.97979983,47.57575979,47.87878741,46.46464729,46.46464729,,
